question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
Why does Quora seem to be ground zero for conspiracies about 5G & COVID-19 connections?,5,1211,0,5,0
"Is there any website who can teach new emerging technologies like AI, machine learning, and deep learning in a new creative way?",1,251,0,1,0
Does the Mavic Mini need an SD card?,1,314,0,1,0
Could brass function on a touchscreen as an alternative to a fingertip?,2,505,0,2,0
"Why has the US tightens the restrictions on technology exports to China, Russia, and Venezuela amidst COVID-19?",1,197,0,1,0
What are the best soundbars with Amazon Alexa in 2020?,1,247,0,1,0
What industries and careers will be most significantly changed by technology?,2,1191,0,2,0
Is there somewhere that any video received through Bluetooth goes after being deleted from your cell phone?,2,2870,0,2,0
What is the PC equivalent of FireWire?,4,1723,0,4,0
Does technology make us happy or miserable and why and why not?,4,319,0,4,0
"Are Israeli scientists at the forefront of geology (including planetary science, seismology, and vulcanology) the way they are in technology, medical science, agriculture, water management, etc.?",1,262,0,1,0
How do you fix a drone that won't fly?,2,1021,0,2,0
What apps should I uninstall immediately? Why should I do that?,3,240,0,3,0
How much sense does it make to wear a mask when most people fiddle with their mask and hold cell phones to their ear?,2,804,0,2,0
How does RTX Voice work?,1,300,0,1,0
What are the important challenges in the bioengineering field in the coming decades?,1,112,0,1,0
Is having a completely electric world good or bad?,5,1992,0,5,0
How do I connect my drone to my controller?,1,561,0,1,0
What is the role of technology in curbing coronavirus?,3,249,0,3,0
What do you think about Alibaba Cloud? How does it compare to the Big 3?,1,882,0,1,0
Why is Microsoft Teams getting so much less usage compared to Zoom?,5,1862,0,5,0
What happens when an electronic device is turned on but not plugged in?,4,621,0,4,0
What technology does tile use?,1,318,0,1,0
What is the net worth of Jimmy Donaldson?,2,702,0,2,0
"Is it possible to make a PC without parts made in China? If so, how much would it cost compared to one made with Chinese parts?",1,480,0,1,0
How do Facebook Messenger kids work?,1,300,0,1,0
How do we rate the quality of an ISP?,2,245,0,2,0
Why do you trust Dyson products?,1,204,0,1,0
Why are SIM cards redesigned often?,1,568,0,1,0
Does anyone really believe that COVID-19 is a biological weapon gone wrong?,12,7202,0,12,0
When can you see the Starlink satellites?,4,2265,0,4,0
Is Xbox One cheaper than PS5?,1,1181,0,1,0
"With the advent of Star Link, don’t you fear Elon Musk will have sensitive data at his disposal?",3,2342,0,3,0
Is the Oppo Find X2 Pro unbreakable?,2,603,0,2,0
"My computer is hanging a lot and due to corona lockdown, I am unable to get help from a technical person. Can I get technical support online at a cheaper price?",2,644,0,2,0
What is the best use of a frictionless surface (at different sizes)?,2,506,0,2,0
How does a drone move forward and backward?,3,778,0,3,0
What would you do if you had a tool that controls your car's signals tomorrow? Would you know what to do with it? How would it make you feel?,2,373,0,2,0
"If someone gives me their old phone, how do I remove their accounts without deleting them, and how do I prevent the other person from signing in with my accounts?",1,292,0,1,0
What is the future of mind-to-mind communication?,1,901,0,1,0
Is there any other alternative to Covid-19 except this lockdown? Are we waiting for any miracle in this regard?,3,290,0,3,0
What technological achievement is long overdue and should already exist?,3,256,0,3,0
What is this new trend on Twitter '#AliensExist' all about?,1,1581,0,1,0
What are near prospects for covid-19 to end?,8,1857,0,7,1
How does bending heat pipes work?,2,622,0,2,0
Why is the charcoal briquette machine so popular?,1,463,0,1,0
"Ten years later, the world's first commercial handheld mobile phone, dubbed the Brick, went on sale for an eye-watering $3,995. How much heavier than the world’s thinnest 3G mobile was it?",2,187,0,2,0
Do you think artificial intelligence will influence the next decade?,2,528,0,2,0
"Should I go to an Apple store to fix the broken screen of my iPhone 11 Pro Max, or should I just go to a tech store?",3,1494,0,3,0
Do I need to calibrate a Mavic Pro?,1,286,0,1,0
What is a SONA 2.5 Robot?,5,185,0,5,0
"What are some of the things that were once unimaginable to do remotely, and what sort of reinvented versions of them might stick around?",1,772,0,1,0
"Do you think post-lockdown, would the data speed of mobile internet improve?",1,1267,0,1,0
"Is there free WiFi anywhere, anytime?",4,796,0,4,0
Which social media is the most effective in driving traffic to a technology blog in 2020? Why?,2,200,0,2,0
How can every digital electronic device use quantum mechanics if nobody understands what quantum mechanics really is?,2,271,0,2,0
What size ear tips should you use for AirPods Pro?,1,398,0,1,0
How will technology augment and optimize your legal department of tomorrow?,3,100,0,3,0
What fictional scientific technology would be useful in real life?,5,1015,0,5,0
How would an infrared camera work on a drone?,2,499,0,2,0
What was the first helicopter ever built?,1,375,0,1,0
"Could green technology be incorporated into the oil and gas industry? If so, in what ways?",6,780,0,6,0
How much self-driving tech comes from the DOD?,1,324,0,1,0
"What is the cheapest possible internet you can get, no cable just the most simple internet package?",3,1129,0,3,0
What is the difference between a DVD drive and a DVD driver?,3,680,0,3,0
What are the limitations of cloud computing?,3,1142,0,3,0
Can the global scramble for protective gear be avoided in the future?,1,315,0,1,0
Do you think that lockdown in India due to covid-19 may extend analysing the current data?,2,898,0,2,0
What is the best search engine for Apple?,1,1747,0,1,0
Is it possible to implement a laser weapon in space to shoot objects on Earth?,6,2411,0,6,0
Is it possible to build a screen without scanning?,1,683,1,1,0
Many sci-fi movies have laser and high frequency sound powered weapons. Is it possible to use those in real life or in the future?,1,475,0,1,0
What is the most advanced musical concept?,2,669,0,2,0
Why is the telephone not ringing when your doorbell rings?,1,520,0,1,0
Are glasses on a higher prescription thicker or is there technology which allows thinner glasses for higher prescriptions?,1,523,0,1,0
How uncanny are the predictions of the future in science fiction movies?,1,1041,0,1,0
Does Tesla have the technology to build a bus that can accelerate 0-60 in under 4 seconds?,2,741,0,2,0
Is Realme Buds Air compatible with Apple AirPods?,1,625,0,1,0
Should I enable rip on my router?,2,1005,0,2,0
How do I update my mobile for 5G technologies?,2,442,0,2,0
"Do you think the travel and hospitality industries would ever boom again after the COVID-19 era, given that people are becoming more used to virtual meetings and communications? Why or why not?",2,471,0,2,0
Is the iPhone 6 already obsolete?,4,1839,0,4,0
Why are there hailstorms all over India in the month of April 2020? Is it a work of other countries using HAARP technology?,2,1261,0,2,0
Would carbon fiber make a headphone better?,1,809,0,1,0
"For teenagers, how did you change after receiving your smartphone?",5,1819,0,5,0
What mechanical invention of this millennium is equivalent to the invention of the mechanical wheel?,4,298,0,4,0
When will the Xiaomi Mi 10 Youth and Xiaomi Mi10 Lite 5G be launched in India?,1,348,0,1,0
Why is my Xbox One overheating so fast?,1,388,0,1,0
Are technology and globalization destined to drive up inequality?,1,160,0,1,0
How accurate is Google’s sunset time?,2,1072,0,2,0
Is the PlayStation 5 still on schedule to be released in 2020 (post COVID-19)?,2,736,0,2,0
How can Apple make a better processor than Qualcomm and MediaTek who are market leaders in making mobile processors?,2,373,0,2,0
What happens when your cell phone contract ends?,1,1276,0,1,0
How can AI affect the practice of surgery?,2,1591,0,2,0
What are the applications of appropriate technology in solar energy?,2,369,0,2,0
Why is China focusing on building surveillance systems?,2,631,0,2,0
How long would it take for the iPhone SE 2020 to deliver now?,3,2370,0,3,0
Why does Apple pressure me to update my iPhone?,5,757,0,5,0
"Previously, did flip phones have group chat capabilities?",1,275,0,1,0
Is it true that Microsoft is launching human level AI in the next 10 years?,1,184,0,1,0
When will India start the 5G network testing?,4,1158,0,4,0
Do you think YouTube will be relevant in a century from now?,5,1802,0,5,0
What product or service should be invented?,3,483,0,3,0
Can you copy contents of a Blu-ray disc to a USB using a Blu-ray player?,6,1123,0,6,0
Can we transfer the internet of 1 GB from a mobile to a PC?,2,319,0,2,0
Will the Apple Watch shift from indulgence to an everyday device? How?,1,837,0,1,0
"Smartphone contact-tracing technology has played a role in easing lockdown in China, and other countries are following suit. But are contact tracing apps all they're cracked up to be?",3,543,0,2,1
"How did New Zealand get such a strong and modern tech culture despite being such a small, remote island country?",3,2428,0,3,0
What are the disadvantages of self-servicing home gadgets and appliances?,3,186,0,3,0
What is a Robot Dragonfly?,3,287,0,3,0
How did the first audio recorders work?,2,496,0,2,0
How do I become a big tech giant company?,2,1642,0,2,0
Why don't PCs and laptops get a start or switch-off function similar to smartphones?,5,249,0,5,0
"With Apple's Foxconn plants being shutdown earlier this year because of COVID-19, does this mean the launch of the iPhone 12 will be pushed back to October or November?",2,1563,0,2,0
Which part of a patent contains the most information for technology analysis?,1,208,0,1,0
What modern technology tells us the age of artifacts?,4,544,0,4,0
Will I regret getting a 720p TV in 2020?,2,1090,0,2,0
Why do so many teachers use Zoom now?,5,1419,0,5,0
"Will we ever get another version of Windows? If not, will Microsoft make it so Windows 10 has more customization?",3,1196,0,3,0
Which technology is used to detect voice and face data?,1,491,0,1,0
Are smartphone eSIMs carrier locked?,1,778,0,1,0
Why are some plugs designed to cover the other outlets?,2,1044,0,2,0
Is the iPhone SE a good budget phone for 2020?,7,1270,0,7,0
Beko Washer-dryer doesnt start any program? Look like is locked or blocked?,2,366,0,2,0
How expensive do you think the iPhone will get to the point where people will turn around and say that is way too much?,1,841,0,1,0
Why should you love search engines and discoverability?,2,245,0,2,0
"How credible are the former Huawei employees, now in Chinese jails, who say that the company sold tech products to Iran?",3,1360,1,3,0
Today I had 12 hours of screen-on time on my phone. What other activities can I do in quarantine so I don't stay on my phone that much?,5,585,0,5,0
"Nvidia recently suffered a scandal about its partner program allegedly having anti-competitive elements. Nvidia already dominates the industry. Is dominating a market, and then cooking up a scheme to cripple competition forever common in business?",1,594,0,1,0
How do I set up an old laptop for kids?,1,622,0,1,0
Could Bluetooth cellphone tracing be the key to beating back the coronavirus?,1,660,0,1,0
Which iPads are no longer supported?,1,620,0,1,0
"Which iPhone will you be buying in 2020 : iPhone SE 2020, iPhone XR, or iPhone XS?",8,814,0,7,1
Is there a reason why people slap their TV remote?,3,724,0,2,1
Why is the iPad Air thicker than the iPad Pro despite what the name “Air” suggests?,2,493,0,2,0
Is a Raspberry Pi cluster’s processing power enough for machine learning implementation?,1,524,0,1,0
What are the advantages of owning a DLSR camera in a smartphone world?,8,1993,0,8,0
Why would India make indigenous covid testing now? Why didn't they initiate it before?,1,758,0,1,0
What was the most impressive technological achievement of the Chavin people?,1,301,0,1,0
What would be your advice to someone starting a new technology blog in 2020?,2,375,0,2,0
How do you make a cloud buster sword?,1,396,0,1,0
Is there anyone here who is familiar with ANSYS Fluent software and blows this drone into tunnel analysis?,1,262,0,1,0
Does Vivo overtake Samsung in Indian smartphone sales?,1,517,0,1,0
Which type of external hard drive have the best read-write speed?,5,3421,0,5,0
How many Siri requests must Apple be getting during lockdowns around the world?,2,1183,0,2,0
How can I start blogging about technology and other stuff and earn some extra money? Where I can publish them?,1,354,1,1,0
What are the upcoming best smartphones in India?,1,1634,0,1,0
If technology existed that could switch a humans brain with an animals and you used it on a person you hated so you could kill them and you succeed is that murder or animal cruelty and killing an animal?,2,1048,0,2,0
What will happen if I use a VOOC charger on a normal other brands phone?,2,595,0,2,0
Do you support Bill Gates?,6,860,0,6,0
"Were many people continuing to use stone tools after the ""Stone Age"" was over?",12,2632,0,12,0
"What/who are the most mind bending, mind blowing, mind expanding, mind opening, radical, revolutionary, transformative, view-quake inducing thinkers, books, videos, art, resources, etc.?",1,1465,0,1,0
How will artificial intelligence be so important in the near future after Covid-19 crisis?,1,283,0,1,0
What does headless mean on a drone?,2,704,0,2,0
What are hidden uses of Bluetooth? Like enter in another person's Smart phone and select there file or copy it in your phone?,3,189,0,3,0
What will television look like in 2025?,1,499,0,1,0
Our species invented the internet. Do you think we can handle the consequences?,1,244,0,1,0
"Were paper airplanes created to mimic real airplanes, or do they predate them?",2,2725,0,2,0
Which country has more number of cellphone users (who have their own cellphones)? Is it China or India?,1,522,0,0,1
Does browsing in private mode actually keep your activity fully private?,7,882,0,7,0
Does Google use Akamai?,1,431,0,1,0
Is technology haram according to the Quran?,2,889,0,2,0
What are the best telepresence robots for business in 2020?,1,321,0,1,0
Will artificial intelligence cover the 30% revenue in the tech industry by 2022?,2,326,0,2,0
"What could replace the way humans life (houses, condos, apartments)? What could be new in the future that treat the real estate the way it is?",2,1348,0,2,0
How do you switch back from a Fire Stick to a cable?,2,391,0,2,0
What are some inventions that will be commonplace in 10 years?,1,584,0,1,0
What will be the launch date of Oppo Glow in India?,1,1086,0,1,0
Are the DJI goggles worth it?,1,355,0,1,0
Do you think cloud computing applications can assist B2C eCommerce?,1,1316,0,1,0
"Is there any ""slim, rechargeable, waterproof"" earmuff/hearing protection?",2,301,0,2,0
How can UV light kill bacteria on smartphones?,1,602,0,1,0
"TECHNOLOGY like GEMINI devices are really good to help for marine people, how it helps?",1,96,0,1,0
How should I prepare myself so no company can fire me out just for the sake of artificial intelligence revolution?,2,14,0,2,0
Why do washing machines have different types of matic liquid for the top and front load?,2,804,0,2,0
"With a new mobile phone coming that will run on a 5G network, will our current phones work on the new network or will we all have to upgrade to a 5 G phone?",6,589,0,6,0
What company makes the technology for self-driving cars?,1,462,0,1,0
Is it worth buying an iPhone Pro Max after the existence of the iPhone SE?,2,486,0,2,0
What is an alternative to the Apple AirPods Pro case in terms of protection from scratches?,2,159,0,2,0
What's the catch with Apple's iPhone SE?,2,571,0,2,0
What is the Pan-European Privacy Preserving Proximity Tracing (PEPP-PT)?,1,155,0,1,0
What are the leading tech profile openings in India?,1,289,0,1,0
Will we have self-driving cars by 2022?,3,1248,0,3,0
What was the primary reason General Electric began to update and automate its automatic dishwasher reproduction facilities?,2,148,0,2,0
Do people in another country buy Internet data too? Is it expensive?,3,685,0,3,0
Which will be the next big smartphone brands?,1,902,1,1,0
If we suddenly found the technology to make ultra virtual reality movies and games how would society react and what would it change?,1,1103,0,1,0
Can medical research be sped up? How?,2,2150,0,2,0
Has phone camera technology caught up with professional cameras?,5,1865,0,5,0
How do you connect a non-smart TV to a Bluetooth speaker?,2,1012,0,2,0
"From the perspective of the development of the video game industry, what are the emerging trends worth watching in 2020?",1,827,0,1,0
"How do you make a Mule unrideable yet still have access to the chest confiscated (Minecraft Java edition, Minecraft commands, gaming settings)?",1,524,0,1,0
Is there any free internet option during lockdown because packs are costly now?,2,122,0,2,0
Have you ever felt that your smartphone was listening to your mind thoughts?,1,724,0,1,0
Is there a universal remote for an air conditioner?,1,310,0,1,0
How do you think about Red Magic 5g?,1,869,0,1,0
How do I login with Garmin Connect?,1,141,0,1,0
"If your handheld device is with you all the time, why do you never see them in your dreams?",3,1261,0,3,0
What is the greatest technological advancement in human history?,2,886,0,2,0
Do fake AirPods connect like real ones?,2,621,0,1,1
How can you use technology to motivate your students?,3,1374,0,3,0
I bought a used phone and I don't know everything about the owner or the Samsung account attached to it. How do I get rid of it and start fresh?,3,950,0,3,0
I have 2 email addresses for a hidden identity of a pw rapidly progressing dementia. How does the family find what these were used for? Assuming user names/logins. The person no longer has the mental capacity for decisions and is quite compromised.,1,635,0,1,0
"Which are the good smartwatches under Rs 10,000 in India? I want a watch that would show call notifications when I have gone out for some activity like jogging and not carrying the smartphone with me.",3,976,0,3,0
What is PUBG X Stadia?,1,170,0,1,0
Who should buy a smart watch?,2,522,0,2,0
How do I calibrate my drone?,1,307,0,1,0
Which were the great inventions that Nikola Tesla was working on during the last stages of his life?,1,229,0,1,0
Does your smart TV watch you?,1,775,0,1,0
How much did T-Series earn in 2019?,1,1236,0,1,0
Is technology disrupting the financial service industry?,3,244,0,3,0
Is 2400 MHz RAM good for Ryzen?,1,1166,0,1,0
How can people misuse AI technology?,2,656,0,2,0
How can computers be used positively to promote the public good?,1,227,0,1,0
How do I watch Netflix on a Mi Smart TV?,4,1902,0,4,0
How long will I be able to use the iPhone SE for? When will I need a new phone?,6,1555,0,6,0
Will the PS5 have an easy-to-replace SSD?,1,447,0,1,0
Who are the semiconductor companies in the Silicon Valley making the RF chips for the 5G rollout this year 2020?,1,452,0,1,0
How do sonobuoys detect submarines?,4,556,0,4,0
Will SpaceX's Starlink become the world's ISP?,1,621,0,1,0
Do airspace regulations change for drones that are equipped with ADS-B?,3,1303,0,3,0
How does AI in healthcare transform its future?,2,430,0,2,0
What do you think about the OnePlus Z series smartphones and its launch in India?,1,1117,0,1,0
Is it worth it to buy a Xiaomi Mi 10 Youth 5G phone?,1,1064,0,1,0
"If a drone's propellers had a flat surface an inch or 2 below them (part of the drone), would they generate far less lift?",3,715,0,3,0
How do I format a 10TB hard drive?,2,612,0,2,0
What is a device or gadget that you hated at first but now can't live without?,3,617,0,3,0
What are the best smart displays for a smartphone launch in 2020?,1,973,0,1,0
What are some good dissertation topics for an MBA in hospital and healthcare management or healthcare and technology? The study which could be completed in 3 months in a hospital.,1,266,0,1,0
Does wireless power technology exceed the efficiency of traditional wired power?,1,498,0,1,0
Are laser satellites possible?,4,3453,0,4,0
Is it wrong for a 15 year old to date a 17 year old as long as there’s no sexual contact or intercourse?,3,322,0,2,1
How can a man last up to 30 minutes on bed?,3,650,0,3,0
How often do you think about getting a blow job?,6,625,1,6,0
My dick is only 4.7 inches when erect & I cum too quick as well. I never had sex but while masturbating I cum in less than a minute. What should I do?,2,421,1,2,0
Do you ever have to fantasize to get hard/stay hard while being intimate with your partner?,1,163,0,1,0
What if I lick my partner’s ass after washing it with soap and water?,4,208,0,4,0
My boyfriend likes me to ride his dick in his sleep. Is this creepy?,2,495,0,2,0
What do I say so a girl wants to have sex with me? I’m 12 and a boy.,3,299,0,3,0
Is Ricky Martin gay?,3,383,0,3,0
Why do some people have sex with their family members exes? Why do they like leftovers? Should we respect these people? I find these people trashy?,1,233,1,1,0
Can fingering with one finger break my hymen?,1,109,0,1,0
Is it okay to fart in my wife’s face after sex?,4,226,0,4,0
Do I had the NEXAPLANO insertion about 2 weeks ago but my period is late for 5 day. About 4 days prior to the insertion I had unprotected sex. Is it the NEXAPLANON or pregnancy? Help.,1,113,0,1,0
"My ex-girlfriend always comes to my place to watch movies or to have sex without being invited. I want to set boundaries and move on, but I can't turn her down because I still love her. What should I do?",2,527,1,2,0
"In the devaluation stage, where you no longer get cuddles, no kissing & definitely no sex, can a narcissist 'reclaim' you with amazing sex just because you met an old male friend with a hug?",1,121,0,1,0
How do guys like to be jerked off by a female?,15,14060,1,11,4
"What do ladies think of an 8 inch (20 cm) long, 6.5 inch (17 cm) in circumference, bent left and down an uncircumcised penis?",3,204,0,2,1
Why does a narcissist want phone sex?,1,427,0,1,0
Why do I enjoy women so much? I’m never interested sexually or nothing rather just a friend.,1,219,0,1,0
Why do I always imagine that I'm pregnant although I'm single and I have sex few times a year? I'm 22 years old.,1,212,0,1,0
What happens when a woman’s vagina hurts for the first time of oral sex?,1,71,0,1,0
"Rush on my skin around the penis, and I had no sex activities, what could be the rush for and its irritating and itchy at night?",1,70,0,1,0
"This girl wants to have sex with me every single day, even when she’s on her period. What kind of problems do you think she may have?",5,521,0,5,0
What is the best site for a guy to escort himself to a woman for money?,1,907,0,1,0
Can you be 100% submissive and give into your partners cuckold fantasies?,3,174,0,3,0
"While watching porn, I have no penis erection, but while having sex with my girlfriend, there is a perfect erection (I do too much masturbation while watching porn)?",1,144,1,1,0
Why does a grandma want to have sex with a younger guy?,3,370,0,3,0
What are some words that your Arab wife says in sex?,1,1288,0,1,0
Why do I feel so guilty and selfish for having sexual feelings?,3,619,0,3,0
Im a teen and had sex with a boy once. it was my first time n didn’t last long. I’m under 16 and it was a year ago and my mom has not gotten over it. So she restricts me from so many things and I’m not even a bad kid. Am I wrong to want more freedom?,2,1031,0,2,0
I’m 70 and enjoy sex. How can I get my wife interested?,2,722,1,2,0
"In England, what are your thoughts about the United States archaic sex laws and nudity?",2,330,0,2,0
Would you rather have cake or sex?,2,73,0,2,0
I am in my early 60s and my girlfriend of 4 years (same age) has not wanted to have sex with me for the past six months. Should I worry?,4,447,0,4,0
"My boyfriend never inserted his penis into my vagina, but he rubbed his penis in my vagina in the next few days of my period. Is there any chance of getting pregnant?",2,197,1,2,0
"From a mother’s point of view, is masturbation okay with your teen daughter? If so, how would you react if your daughter asked you for a proper sex toy? How do you prefer they ask?",1,141,0,1,0
We already know that girls that have sex too young can contract cervical cancer. But how young is too young? And if the girl has had her period for 8 years already. I want to know MEDICALLY not socially or emotionally.,3,808,0,3,0
My girlfriend and I both really badly want to have sex. We are 16 and both virgins. How can we make it happen during quarantine? (our parents are always home and everything is closed),3,664,0,3,0
Is it wrong to like pussy and dick?,5,939,0,4,1
"I had protected sex 3 months ago and after that, I got periods for 2 months but in this month, I didn't get periods. Will this lead to pregnancy?",2,281,1,2,0
I would like to flash my penis to men and girls but I’m too afraid. What should I do?,3,647,0,3,0
How accurate that girls can smell “sex” if men want it for them?,2,615,0,2,0
Does every girl make their panties wet whenever they become sexually aroused?,4,359,0,4,0
"As a man, what woman expressed their sexuality in a creative way?",1,147,0,1,0
Why did my narcissist spit in my face during sex?,3,1354,0,3,0
What do you think of grab sex?,1,1556,0,1,0
How many women enjoy watching bisexual Men have sex?,3,526,0,3,0
I don’t enjoy having sex with my girlfriend anymore. Is this a sign that our relationship is declining?,1,246,1,1,0
"Have you ever sexted someone online? How did it go, and do you regret it?",1,417,0,1,0
Do young boys like sex with older women?,4,1095,1,4,0
Is it wrong to be with a guy whose 20 when you're 16 if the legal age of consent is 16 in both of your states and you actually won't be having sex?,1,124,1,1,0
I can’t cum or orgasm during sex even though I want to so bad. How do I become more sensitive and cum at will? (I don’t have any religious fears or fears of the girl getting pregnant either.),1,225,0,1,0
What are some signs a guy is trying to turn me into a fuck buddy instead of dating?,2,740,0,2,0
Is cum good for a female’s anus?,4,987,0,4,0
Have you been offered sex instead of money for a job?,2,5293,0,2,0
Can a person become so lonely through not being loved that just being held becomes more needed than sex?,2,412,0,2,0
How can I find a partner for sex during the coronavirus restrictions?,1,466,1,1,0
How do I tell if a girl thinks I’m good in bed?,3,742,0,3,0
Do you want to have sex like you used to?,3,733,0,3,0
Why does my narc boyfriend keep me around if he no longer wants to have sex with me?,2,268,0,2,0
Is it good to have sex with a wife like a slut/bitch or rough/hard sex? Does it affect the marriage life?,1,518,1,1,0
"What is it like to have sex at your office, and how often have you done it?",1,513,0,1,0
How normal is it to engage in sexual activity with your partner at their parents house if your partner lives there? I still live at home too so it’s the only way we can have sex. Do others do this on a regular basis? Is that perfectly normal?,2,330,0,2,0
Is it better to have lots of money or lots of sex?,2,428,1,2,0
Do any of you want to do anal (straight guy)?,1,30,0,1,0
"If you and your spouse fight a lot, do you think having sex would make things better or worse? And would you want to in the first place?",3,490,0,3,0
Why does my penis point straight up touching my lower abdomen and also after ejaculation why does is it hurt when I try to get hard again? Is it normal for a teenager?,2,500,0,2,0
What is a good penis size? I’m 6 inches in length and 5.1 Inches in girth but I still feel like I have a small penis.. I have no confidence in it whatsoever. I’m also 16. Will It grow?,2,872,0,2,0
Can introverts release sperm during sex?,1,159,0,1,0
Does Jennifer Smith want to have sex?,2,760,0,2,0
How do I make sure not to impregnate a girl using a condom?,4,487,0,4,0
Is it bad/abnormal for someone else to pop into your head while having sex with your partner?,2,279,1,2,0
Why does God say men and women cannot do the same sex like gay or lesbian because it is bad for us? Is God interfering in our business or God helping us?,2,235,0,2,0
I have a problem about my penis. I can't have sex with my wife. It's not hardening. What do I do?,3,734,0,3,0
What does it feel like to be a girl fucked by a group of guys?,1,2374,0,1,0
Is there a connection between sexuality and art?,2,27853,0,2,0
I had sex on the 25th with a condom but it did slip off twice. I know have yellow white stuff on my labia majora and it itches and it’s discomfort. Is it a yeast infection?,1,98,0,0,1
I had my period 10 days ago and I got my period again after sex. Could that be bad?,1,129,0,1,0
I've been dating a guy for a month and he already turned me down for sex 3 times. He says it's too soon and that he wants our first time to be special. What should I do?,3,1122,1,3,0
"If your partner of 28 years seems to shy away from sex, is it another man on her mind?",3,86,0,3,0
What are some things a guy can do to tease his girlfriend after she is tied to the bed and blindfolded?,3,1772,0,3,0
"The last time I had sex (unprotected) was correctly a month and a week ago, and I got my period a 3-4 days after that. I feel nauseous, exhausted and hungry all the time and I’ve been experiencing spotting. Is it possible that I am pregnant?",2,128,1,2,0
Have you ever had sex your way out of something?,3,1317,0,3,0
Is sexuality against enlightenment?,1,673,1,1,0
"When will the tip of my penis stop being ""sensitive""? I'm uncircumsised, and when I touch the ""pink"" part on the very tip it's okay, but otherwise it feels uncomfy, like it makes me cringe. I'm worried this'll effect my first time, that it'll hurt.",1,194,0,1,0
Is it common to fart a lot after anal sex?,2,331,0,2,0
"What would be the very worst food to bring in bed for some sexy time, partner included?",1,491,0,1,0
Is it normal that I'm 13 and haven't had the moment when my body is telling me I'm ready to cum like when you one day someone wake up with your underwear wet that hasn't happened to me yet?,2,179,0,2,0
How long does it take for your vagina to get used to intercourse?,1,244,0,1,0
How do you tell your man he is lacking sexual maturity?,3,318,1,2,1
"After my mom died, my dad walks naked around the house and now he penetrated me, and I enjoyed it. I'm 13. Is this okay? This is not a troll.",3,694,1,3,0
"A guy says he loves me, has sex with me, contacts me, constantly thinks of me, but won’t get back together with me. What should I do?",3,490,0,3,0
How does a husband feel if his wife is not a virgin during the first night?,3,256,0,3,0
During anal sex why does my lower stomach hurts? It feels as the dick hits something inside me?,3,2418,0,2,1
How many bodies is too many? Like how many times a girl has sex with boys is too many?,3,653,0,3,0
"As a gay guy, can you describe the difference between sex with a woman and a man? What are you missing in your feelings/mind when having sex with a woman? Is it like eating food when not particularly hungry but still tastes good?",1,454,1,1,0
Am I wrong to ask sex from my husband every single night since my mother died (3 weeks since)? I find it a means of getting over my loss.,2,821,1,2,0
I am 13 and my cum isn't white. Is this normal?,3,521,0,3,0
How can I lose man-tites and last longer in bed?,1,335,0,1,0
What was the horniest thing you did as a kid?,5,1774,0,5,0
Why doesn’t my husband feel like having sex? I have small boobs. Shall I go for breast implants? I've heard fake tits are hard and men don’'t like them. What should I do?,2,261,0,2,0
Is sex should be banned is it possible?,1,453,0,1,0
Have you ever had a student you would want to have sex with?,1,3416,0,1,0
How can I make myself cum without a vibrator or a man?,1,395,0,1,0
"As an Indian, when and how do you learn about the cuckold fetish?",1,723,0,0,1
Is being a virgin at 25 an odd occurence in the American society?,1,665,0,1,0
"Is there anybody who can sext with me and kill time during lockdown? We could share images, talk dirty, etc. I'm a girl.",6,837,1,5,1
Can you get pregnant if the guy released semen in his underwear and rubbed it near your vagina?,1,127,1,1,0
"If every time my girl has her ovulation 14 days before her next period, can I have sex without protection days after her period without her getting pregnant?",1,70,0,1,0
"I'm 19 years old. I have 5"" penis size but girth is so skinny. Whom should I go to, a urologist or a sexologist?",4,372,0,3,1
Is it okay to like when a girl sits on top of you and enjoy the feeling of being squashed by her?,1,272,1,1,0
"I have never had sex, but I masturbated with a toy yesterday in the shower and I bled. Today I haven't masturbated but I got back pain and my urine had a tint of red to it. Why is this happening?",2,230,0,2,0
"Are there testosterone boosters that don't extend sex? Looking for something that will help my husband want to have sex without making it near impossible to finish. He’s tried EXTENZE and it make him hard, and want to have sex but not finish.",2,137,1,2,0
"If you're planning to have sex out of marriage, what all do you look for?",1,785,0,0,1
Is ejaculation without hands considered masturbation?,1,135,1,1,0
Has anyone experienced gay sex in front of their wife?,1,137,0,1,0
How do you stop liking sex even if you are only 12?,2,222,0,2,0
When should you leave after having sex with a new person?,2,732,0,2,0
I’m fifteen and the fingers aren’t doing it anymore. How can I buy sex toys without my parents knowing?,3,569,0,3,0
How do I stop masturbating to my girlfriend? We are in a committed no-sex relationship.,2,514,0,2,0
"What is the female equivalent of ""busting a nut""?",3,803,0,3,0
I have been faking orgasms throughout our relationship (2 years). Should I and how do I tell my husband about this?,4,449,1,4,0
Should I feel bad about having sex with my ex?,5,748,1,5,0
Is it strange that I want to have sex with someone but I don’t want them to sleep in my bed with me? I’m just not into cuddling. I like to sleep with my dog.,1,107,0,1,0
Is a mast more important than a condom?,2,453,0,2,0
"How do guys wank with toilet paper? Do they cum into it, hold it over the tip before they cum, cum in their hands, and clean it up?",1,248,1,1,0
